# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -690.30000000 ps, Average over 10000 waveforms. Timestamp: 2020-02-17T17:16:37
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-661.83333312	0.09308625
-661.79999978	0.12111172
-661.76666645	0.14488015
-661.73333311	0.16380080
-661.69999978	0.17758097
-661.66666645	0.18532489
-661.63333311	0.18553631
-661.59999978	0.17612447
-661.56666645	0.15507141
-661.53333311	0.12108976
-661.49999978	0.07478274
-661.46666645	0.01864314
-661.43333311	-0.04318178
-661.39999978	-0.10544018
-661.36666645	-0.16234609
-661.33333311	-0.20899103
-661.29999978	-0.24176386
-661.26666644	-0.25892498
-661.23333311	-0.26046727
-661.19999978	-0.24783172
-661.16666644	-0.22391635
-661.13333311	-0.19209704
-661.09999978	-0.15628270
-661.06666644	-0.12012477
-661.03333311	-0.08663366
-660.99999978	-0.05742415
-660.96666644	-0.03316156
-660.93333311	-0.01288512
-660.89999978	0.00497853
-660.86666644	0.02233581
-660.83333311	0.04021103
-660.79999977	0.05813960
-660.76666644	0.07431547
-660.73333311	0.08638824
-660.69999977	0.09160673
-660.66666644	0.08842197
-660.63333311	0.07687986
-660.59999977	0.05868901
-660.56666644	0.03729927
-660.53333311	0.01688267
-660.49999977	0.00141521
-660.46666644	-0.00657979
-660.43333310	-0.00640947
-660.39999977	0.00043115
-660.36666644	0.01114479
-660.33333310	0.02282398
-660.29999977	0.03318713
-660.26666644	0.04125755
-660.23333310	0.04755242
-660.19999977	0.05328756
-660.16666644	0.05975245
-660.13333310	0.06754269
-660.09999977	0.07611052
-660.06666644	0.08416579
-660.03333310	0.08999905
-659.99999977	0.09204337
-659.96666643	0.08955773
-659.93333310	0.08287602
-659.89999977	0.07332493
-659.86666643	0.06255398
-659.83333310	0.05209867
-659.79999977	0.04289401
-659.76666643	0.03463215
-659.73333310	0.02619653
-659.69999977	0.01590473
-659.66666643	0.00252139
-659.63333310	-0.01412993
-659.59999976	-0.03283842
-659.56666643	-0.05131120
-659.53333310	-0.06708444
-659.49999976	-0.07856470
-659.46666643	-0.08562195
-659.43333310	-0.09018019
-659.39999976	-0.09468726
-659.36666643	-0.10138249
-659.33333310	-0.11129714
-659.29999976	-0.12359789
-659.26666643	-0.13570493
-659.23333310	-0.14409491
-659.19999976	-0.14527722
-659.16666643	-0.13700434
-659.13333309	-0.11868563
-659.09999976	-0.09115354
-659.06666643	-0.05644848
-659.03333309	-0.01720876
-658.99999976	0.02408311
-658.96666643	0.06537262
-658.93333309	0.10502448
-658.89999976	0.14153059
-658.86666643	0.17362046
-658.83333309	0.19961560
-658.79999976	0.21752019
-658.76666643	0.22533955
-658.73333309	0.22121724
-658.69999976	0.20392706
-658.66666642	0.17333308
-658.63333309	0.13031842
-658.59999976	0.07711068
-658.56666642	0.01737278
-658.53333309	-0.04405237
-658.49999976	-0.10152841
-658.46666642	-0.14922211
-658.43333309	-0.18219742
-658.39999976	-0.19686986
-658.36666642	-0.19231305
-658.33333309	-0.16981522
-658.29999975	-0.13245308
-658.26666642	-0.08467482
-658.23333309	-0.03101415
-658.19999975	0.02409664
-658.16666642	0.07694729
-658.13333309	0.12456862
-658.09999975	0.16430952
-658.06666642	0.19389430
-658.03333309	0.21097190
-657.99999975	0.21358979
-657.96666642	0.20063971
-657.93333309	0.17251228
-657.89999975	0.13137409
-657.86666642	0.08108449
-657.83333308	0.02650327
-657.79999975	-0.02732178
-657.76666642	-0.07552936
-657.73333308	-0.11448313
-657.69999975	-0.14201775
-657.66666642	-0.15737255
-657.63333308	-0.16085955
-657.59999975	-0.15385227
-657.56666642	-0.13840263
-657.53333308	-0.11692974
-657.49999975	-0.09226839
-657.46666642	-0.06699126
-657.43333308	-0.04373094
-657.39999975	-0.02426927
-657.36666641	-0.00944464
-657.33333308	0.00069300
-657.29999975	0.00727228
-657.26666641	0.01206736
-657.23333308	0.01735983
-657.19999975	0.02536848
-657.16666641	0.03724708
-657.13333308	0.05342295
-657.09999975	0.07232559
-657.06666641	0.09127286
-657.03333308	0.10669851
-656.99999974	0.11520886
-656.96666641	0.11429113
-656.93333308	0.10271565
-656.89999974	0.08127658
-656.86666641	0.05186527
